https://www.seznamzpravy.cz/clanek/porady-teren-drzel-me-za-vlasy-a-bil-za-homofobni-utok-padly-nizke-tresty-218471~Dredy a&nbsp;marihuana jsou stereotyp. O&nbsp;tom naše země není, říká mladý Jamajčan
https://www.seznamzpravy.cz/clanek/zahranicni-jeden-osviceny-strom-na-mesto-drahe-energie-omezi-v-nemecku-vanocni-trhy-218555~Jeden osvícený strom na město. Drahé energie omezí v&nbsp;Německu vánoční trhy
https://www.seznamzpravy.cz/clanek/zahranicni-stredni-evropa-polky-nerodi-protoze-nasavaji-mysli-si-kaczynski-218550~Polky nerodí, protože nasávají, myslí si Kaczyński
https://www.seznamzpravy.cz/clanek/zahranicni-letadlo-pri-pristani-spadlo-do-viktoriina-jezera-218545~Letadlo při přistání spadlo do Viktoriina jezera, zemřelo 19&nbsp;lidí
https://www.seznamzpravy.cz/clanek/zahranicni-pokud-bude-kyjev-bez-proudu-miliony-lidi-ceka-evakuace-218544~Pokud bude Kyjev bez proudu, miliony lidí čeká evakuace
https://www.seznamzpravy.cz/clanek/zahranicni-ponozky-uz-dobbymu-nenoste-zadaji-ochranari-fanousky-harryho-pottera-218541~Ponožky už Dobbymu nenoste, žádají ochranáři
https://www.seznamzpravy.cz/clanek/zahranicni-jste-komplicove-ruskeho-terorismu-a-dal-lzete-vzkazal-zelenskyj-teheranu-218537~Jste komplicové ruského terorismu a&nbsp;dál lžete, vzkázal Zelenskyj Teheránu
https://www.seznamzpravy.cz/clanek/zahranicni-nezakazujte-jednani-s-ruskem-uplne-zadaji-kyjev-americane-218536~Nezakazujte jednání s&nbsp;Ruskem úplně, žádají Kyjev Američané
https://www.seznamzpravy.cz/clanek/zahranicni-z-kohoutku-nam-tece-slana-voda-ale-zvitezime-rika-starosta-mykolajivu-218203~Už chápeme, že Rusové nás chtějí zabít co nejvíc, říká starosta Mykolajivu
https://www.seznamzpravy.cz/clanek/zahranicni-zaporozska-jaderna-elektrarna-byla-opet-pripojena-k-vnejsi-siti-218534~Záporožská jaderná elektrárna byla opět připojena k&nbsp;vnější síti
