Primátorkou Třince se opět stala Věra Palkovská (Osobnosti pro Třinec);Třinec (Frýdecko-Místecko) - Primátorkou Třince na Frýdecko-Místecku se dnes opět stala Věra Palkovská (Osobnosti pro Třinec). Na ustavujícím zasedání pro ni hlasovalo 18 z 33 přítomných...
Policisté pátrají po muži, který podle nich v březnu v Praze napadl čtyři lidi;Praha - Policisté pátrají po Gruzínci, který podle nich v březnu v Praze 4 během tří hodin napadl čtyři lidi. Jako uprchlý je obviněn z těžkého ublížení na zdraví, vydírání a...
Podnikatel Diviš nasbíral dost podpisů pro prezidentskou kandidaturu;Praha - Podnikatel Karel Diviš nasbíral přes 60.000 podpisů pro svou prezidentskou kandidaturu. Na ministerstvu vnitra je odevzdá v úterý ráno, řekl dnes na tiskové konferenci v Praze. Do...
Národní park Šumava připravuje na příští rok demolici Roklanské chaty;Vimperk (Prachaticko) - Šumavský národní park připravuje na příští rok demolici Roklanské chaty, která se nachází u vrcholu Březník poblíž Modravy na Klatovsku. Důvodem je podle parku...
Kvůli poruše zabezpečovací zařízení stály na koridoru u Olomouce vlaky;Olomouc - Kvůli poruše zabezpečovacího zařízení byl ráno zhruba na hodinu zastaven provoz vlaků na železničním koridoru mezi stanicemi Moravičany na Šumpersku a Červenka na Olomoucku....
Žena ze Zlínska poslala podle policie domnělému kanadskému herci 620.000 korun;Zlín - Žena ze Zlínska postupně poslala podle policie domnělému kanadskému herci 620.000 korun, peníze si na to i půjčila v bance. Seznámila se s ním přes internet. Případem podvodu...
Babiš podal kandidaturu na prezidenta, podpořilo ho 56 poslanců ANO;Praha - Předseda hnutí ANO a bývalý premiér Andrej Babiš podal dnes ráno na ministerstvu vnitra kandidaturu na prezidenta. Podepsalo mu ji 56 poslanců jeho hnutí. Babiš to po odevzdání...
Charita hledá dárce pro vánoční balíčky určené dětem z Ukrajiny, je jich 370;Olomouc - Olomoucká Arcidiecézní charita (ACHO) vyhlásila tradiční sbírku s názvem Vánoční balíček pro Ukrajinu. Do projektu bylo tentokrát zařazeno 370 dětí ze sociálně slabých...
Lucerna byla na koncertu Pocta Martě svědkem výjimečného vystoupení Kubišové;Praha - Zaplněná Lucerna dnes byla na koncertu Pocta Martě svědkem výjimečného vystoupení Marty Kubišové, která při této příležitosti zazpívala slavnou Modlitbu a společně s ostatními...
Pražští zastupitelé přerušili ustavující zasedání do 24. listopadu;Praha - Pražští zastupitelé přerušili dnešní ustavující zasedání do 24. listopadu. Hlavní město tak ani více než měsíc po komunálních volbách nemá nové vedení. Volba primátora,...
Funkce odborných náměstků zřejmě zaniknou, počet politických nebude omezen;Praha - Funkce odborných náměstků na ministerstvech pravděpodobně zaniknou a zruší se také omezení v počtu náměstků členů vlády. Předpokládá to koaliční novela služebního zákona,...
Bývalý rektor Zima: Kandidaturu na Hrad mi podepsali současní i bývalí senátoři;Praha - Prezidentskou kandidaturu bývalého rektora Univerzity Karlovy Tomáše Zimy podepsali senátoři napříč politickými stranami, jsou mezi nimi členové horní komory Parlamentu ze současného...
Vyznamenání ministerstva obrany dostali Mašínová, Drábová či Dědek;Praha - Přes čtyři desítky vojáků i civilistů dnes obdržely vyznamenání ministerstva obrany. Mezi oceněnými jsou Zdena Mašínová, předsedkyně Státního úřadu pro jadernou bezpečnost...
Soud v daňové kauze státní zástupkyně nerozhodl, předvolá si svědky;Praha - V případu státní zástupkyně Sylvy Krützner, která čelí obžalobě z úmyslného neodvedení daně při prodeji bytu, chce soud před vynesením rozhodnutí slyšet dva svědky. Krützner...
